0.4799998, 0, 0, 15.85059, 4.529256, 0, 476.2803, -1272.454, -5.798054, 0.01928791, 0.1567104, 27.89206, 2.92007, 2.680418, 106.8379
1.689999, -0.0005884531, -0.03134846, 53.35853, 5.972622, 0.042092873658068488330328, 8295.716, -1280.569, -5.798054, 0.01928791, 0.1567104, 116.8103, 2.92007, 2.662067, 110.4303
 
1.699999, 0.0006415223, -0.03135435, 53.71815, 5.985478, 0.038495055521026364004778, 8417.472, -1280.639, -5.798054, 0.01928791, 0.1567104, 117.67, 2.92007, 2.661916, 110.46
 
1.709999, 0.001890943, -0.03134793, 54.07881, 5.998571, 0.0349314124280520292358857997, 8540.408, -1280.708, -5.798054, 0.01928791, 0.1567104, 118.532, 2.92007, 2.661764, 110.4897
 
1.719999, 0.0031592, -0.03132902, 54.44009, 6.011443, 0.031402784570203014720532, 8664.534, -1280.778, -5.798054, 0.01928791, 0.1567104, 119.3961, 2.92007, 2.661613, 110.5193
 
1.729999, 0.004445755, -0.03129743, 54.80196, 6.024096, 0.0279099248459599569374222003, 8789.854, -1280.847, -5.798054, 0.01928791, 0.1567104, 120.2624, 2.92007, 2.661461, 110.549
 
1.739999, 0.005750306, -0.03125297, 55.16534, 6.037431, 0.024453629800092212263654, 8916.384, -1280.917, -5.798054, 0.01928791, 0.1567104, 121.1309, 2.92007, 2.661309, 110.5787
 
1.749999, 0.007071442, -0.03119547, 55.5291, 6.050321, 0.0210359508081691794607642003, 9044.12, -1280.987, -5.798054, 0.01928791, 0.1567104, 122.0016, 2.92007, 2.661158, 110.6084
 
1.759999, 0.008409232, -0.03112475, 55.89392, 6.063444, 0.017656440495731916033122, 9173.074, -1281.057, -5.798054, 0.01928791, 0.1567104, 122.8744, 2.92007, 2.661006, 110.6381
 
1.769999, 0.009762391, -0.03104066, 56.25934, 6.076346, 0.014317139326777749883388, 9303.249, -1281.127, -5.798054, 0.01928791, 0.1567104, 123.7495, 2.92007, 2.660854, 110.6678
 
